,Total (N.º),"Sexo, H, Total (N.º)","Sexo, H, Novos beneficiários (N.º)","Sexo, M, Total (N.º)","Sexo, M, Novas beneficiárias (N.º)","Idade, Menos de 25 anos, Novas beneficiárias (N.º)","Idade, 25-29 anos, Novas beneficiárias (N.º)","Idade, 30-39
 anos, Novas beneficiárias (N.º)","Idade, 40-49 anos, Novas beneficiárias (N.º)","Idade, 50-54 anos, Novas beneficiárias (N.º)","Idade, 55 e mais anos, Novas beneficiárias (N.º)"
Portugal,335222,145577,66772,189645,79782,16038,87571,34785,76903,83737,36188
Continente,318749,137661,63397,181088,76139,15121,83674,32682,73062,79918,34292
Norte,117176,49395,22564,67781,28089,5234,35293,11071,24296,28572,12710
Alto Minho,5990,2704,1341,3286,1379,398,1267,691,1403,1642,589
Arcos de Valdevez,376,138,61,238,90,33,69,45,87,106,36
Caminha,404,182,84,222,90,22,91,37,90,114,50
Melgaço,72,25,12,47,26,3,18,6,20,19,6
Monção,344,126,67,218,105,23,65,53,84,85,34
Paredes de Coura,296,127,54,169,71,31,74,30,65,72,24
Ponte da Barca,209,85,31,124,46,17,39,24,42,69,18
Ponte de Lima,917,350,157,567,212,71,215,116,169,249,97
Valença,459,186,91,273,120,31,98,58,125,112,35
Viana do Castelo,2623,1348,712,1275,562,149,532,289,645,749,259
Vila Nova de Cerveira,290,137,72,153,57,18,66,33,76,67,30
Cávado,11269,4471,2171,6798,2967,451,3306,1070,2409,2858,1175
Amares,476,171,82,305,142,21,136,39,94,142,44
Barcelos,2726,1138,534,1588,666,118,992,224,500,595,297
Braga,5959,2380,1177,3579,1568,213,1587,580,1391,1565,623
Esposende,817,314,148,503,205,30,224,92,168,233,70
Terras de Bouro,268,101,48,167,99,13,82,29,48,63,33
Vila Verde,1023,367,182,656,287,56,285,106,208,260,108
Ave,15014,5871,2740,9143,3733,564,5423,1195,2730,3466,1636
Cabeceiras de Basto,396,179,98,217,74,17,93,49,99,105,33
Fafe,1872,721,330,1151,450,75,687,143,327,447,193
Guimarães,6253,2378,1102,3875,1607,213,2379,446,1078,1425,712
Mondim de Basto,110,52,17,58,28,8,27,11,33,21,10
Póvoa de Lanhoso,573,255,119,318,111,19,204,43,118,132,57
Vieira do Minho,356,159,79,197,82,10,99,39,76,100,32
Vila Nova de Famalicão,4484,1756,827,2728,1161,186,1531,417,816,1049,485
Vizela,970,371,168,599,220,36,403,47,183,187,114
A. M. Porto,63778,27971,12498,35807,14837,3043,18407,6140,13542,15612,7034
Arouca,467,166,70,301,148,34,128,39,93,123,50
Espinho,973,437,191,536,235,50,306,111,190,214,102
Gondomar,6083,2750,1231,3333,1329,313,1684,627,1340,1473,646
Maia,4878,2082,936,2796,1182,207,1357,416,1011,1289,598
Matosinhos,6450,3055,1300,3395,1373,279,1942,535,1332,1640,722
