,"Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 1º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 2º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 3º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 4º quintil, €","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, Menos de
 5 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 5 000  a menos de 10 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 10 000 a menos de 13 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 13 500 a menos de 19 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 19 000 a menos de 32 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, 32 500 € ou mais, N.º"
Portugal,6082,9168,11675,17057,1016840,2639864,1474058,1116824,925413,272659
Continente,6096,9174,11682,17037,968014,2524452,1408679,1071932,880932,259782
Norte,5683,8563,10755,15351,402474,1018632,501595,338138,262852,71079
Alto Minho,5332,8104,10339,14259,29974,67348,34024,20680,14500,3017
Arcos de Valdevez,4560,6803,9363,12352,3691,6256,2584,1345,909,155
Caminha,5320,8051,10520,14883,2137,4632,2310,1432,1139,330
Melgaço,4784,7401,9569,12821,1178,2253,998,547,349,47
Monção,5181,7802,9826,13442,2314,5307,2338,1398,905,150
Paredes de Coura,4966,7214,9486,12367,1293,2812,1271,593,324,75
Ponte da Barca,4560,6787,9348,12230,2049,3472,1376,726,490,79
Ponte de Lima,5138,7658,9748,12956,5588,12782,5848,3072,1872,382
Valença,5445,8164,10232,13440,1741,4147,2242,1258,640,106
Viana do Castelo,6004,9032,11376,16106,8884,23014,13587,9396,7350,1600
Vila Nova de Cerveira,5595,8484,10541,14215,1099,2673,1470,913,522,93
Cávado,5908,8833,10879,15402,41847,116839,59676,39496,30721,7690
Amares,5374,8041,9997,13590,2218,5737,2600,1586,981,133
Barcelos,5782,8439,10049,13275,11931,37973,17783,9592,5398,1095
Braga,6469,9391,12184,18154,16318,46706,27687,21032,19616,5450
Esposende,5583,8648,10690,15059,4108,9991,4926,3380,2423,687
Terras de Bouro,4763,7189,9415,12680,1002,1969,787,469,262,32
Vila Verde,5081,7604,9532,12869,6270,14463,5893,3437,2041,293
Ave,6015,8549,10295,13879,42498,136427,65581,37311,23997,5047
Cabeceiras de Basto,4711,7045,9310,12310,2348,4755,1627,945,597,90
Fafe,5180,7660,9425,12872,6721,16765,6154,3507,2522,435
Guimarães,6365,8792,10443,14000,13751,52459,25935,14064,9304,2334
Mondim de Basto,4562,6612,9207,11861,1159,1981,638,376,241,30
Póvoa de Lanhoso,5054,7631,9466,12618,2874,6561,2743,1454,827,134
Vieira do Minho,4671,6825,9310,12427,1910,3511,1341,768,489,71
Vila Nova de Famalicão,6439,9008,10905,14759,11541,41579,23000,14208,8966,1739
Vizela,6215,8692,10025,12959,2194,8816,4143,1989,1051,214
A. M. Porto,6095,9079,11569,16896,170315,461915,250800,184718,153600,47989
Arouca,5249,7593,9560,12863,2721,6927,2850,1623,949,148
Espinho,6068,8866,11300,16799,2987,8745,4373,2938,2805,803
Gondomar,5954,8871,11134,15491,16628,45706,25164,17608,12284,2416
Maia,6797,9682,13145,19347,10629,30388,19286,17191,15858,4380
Matosinhos,6680,9415,12690,19044,14286,41227,24917,20468,18657,6696
Oliveira de Azeméis,6233,8874,10922,14454,6139,20654,12037,7367,4056,835
Paredes,4754,7307,9415,12690,13791,26370,10525,6080,3745,698
Porto,6549,9629,14141,23422,21027,49002,26296,23941,30512,15774
