,"Total, Total (milhares de euros)","Total, Pensions on 31 Dec. (milhares de euros)","Disability, Total (milhares de euros)","Disability, Pensions on 31 Dec. (milhares de euros)","Old age, Total (milhares de euros)","Old age, Pensions on 31 Dec. (milhares de euros)","Survival , Total (milhares de euros)","Survival , Pensions on 31 Dec. (milhares de euros)"
Portugal,18720939,18410526,1000956,987228,14959142,14727735,2760841,2695564
Continente,18048866,17751855,917779,905388,14484291,14262019,2646796,2584449
Norte,6068348,5972213,340792,336057,4850661,4778939,876896,857217
Alto Minho,354103,347537,24637,24318,276408,271498,53058,51721
Arcos de Valdevez,29402,28770,2058,2034,22317,21855,5028,4882
Caminha,27677,27266,1429,1425,22257,21933,3992,3908
Melgaço,9156,8882,496,469,7384,7180,1275,1234
Monção,24418,23883,1286,1255,19166,18769,3966,3859
Paredes de Coura,12106,11798,1060,1052,9212,8984,1834,1762
Ponte da Barca,16080,15775,1339,1334,12027,11792,2714,2648
Ponte de Lima,58104,56857,5440,5373,44064,43132,8600,8351
Valença,18259,17851,1013,999,14167,13865,3078,2986
Viana do Castelo,145669,143447,9825,9701,115525,113865,20319,19880
Vila Nova de Cerveira,13233,13008,691,676,10289,10122,2252,2210
Cávado,574308,565849,44226,43783,454097,447741,75985,74325
Amares,22270,21970,1862,1849,17241,17014,3168,3108
Barcelos,173013,170390,15451,15294,134617,132633,22945,22463
Braga,265203,261633,17350,17197,214255,211560,33597,32876
Esposende,44910,44262,3588,3549,35252,34757,6070,5956
Terras de Bouro,11326,11092,726,720,8688,8509,1912,1863
Vila Verde,57586,56501,5248,5175,44045,43267,8293,8059
Ave,722965,712690,54661,54014,573086,565498,95218,93178
Cabeceiras de Basto,19558,19077,1853,1828,14387,14031,3318,3218
Fafe,75144,73965,8101,8030,56726,55841,10317,10094
Guimarães,289920,286400,20628,20408,234203,231563,35088,34429
Mondim de Basto,9601,9393,842,826,7192,7034,1567,1533
Póvoa de Lanhoso,26660,26156,2245,2217,20150,19775,4265,4164
Vieira do Minho,18899,18461,1396,1367,14299,14011,3204,3083
