,"Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros","Days subsidized , MF, No.","Days subsidized , M, No.","Days subsidized , F, No."
Portugal,1066343,490371,575972,57581312,24526923,33054389
Continente,1015829,464848,550981,54532481,23031168,31501313
Norte,375892,169090,206801,20728846,8563562,12165284
Alto Minho,16021,7377,8644,891005,383005,508000
Arcos de Valdevez,972,380,592,55255,20462,34793
Caminha,1141,515,626,64181,27455,36726
Melgaço,198,69,129,10914,3471,7443
Monção,880,355,526,50828,20027,30801
Paredes de Coura,777,348,429,46366,19488,26878
Ponte da Barca,521,256,265,30006,13805,16201
Ponte de Lima,2358,922,1436,140315,52399,87916
Valença,1231,496,736,70360,27018,43342
Viana do Castelo,7128,3649,3480,376246,177596,198650
Vila Nova de Cerveira,814,389,426,46534,21284,25250
Cávado,36408,15762,20646,1978515,786799,1191716
Amares,1438,607,831,81776,30765,51011
Barcelos,8887,4004,4883,492515,201477,291038
Braga,19743,8500,11243,1049681,418679,631002
Esposende,2601,1079,1522,140843,54921,85922
Terras de Bouro,625,266,359,39526,15319,24207
Vila Verde,3113,1306,1807,174174,65638,108536
Ave,49650,20914,28737,2766069,1066278,1699791
Cabeceiras de Basto,1204,566,638,69029,30167,38862
Fafe,6164,2503,3661,360396,135746,224650
Guimarães,21035,8521,12513,1181977,445803,736174
Mondim de Basto,380,193,187,22979,11622,11357
Póvoa de Lanhoso,1876,913,964,102801,43900,58901
Vieira do Minho,1035,595,440,58453,29630,28823
Vila Nova de Famalicão,14621,6245,8376,779488,297573,481915
Vizela,3336,1378,1958,190946,71837,119109
A. M. Porto,208446,97324,111121,11269393,4848165,6421228
Arouca,1341,594,747,77897,31488,46409
Espinho,3327,1652,1675,180276,83053,97223
Gondomar,19605,9319,10286,1086567,481441,605126
Maia,16384,7550,8834,834610,348018,486592
Matosinhos,22332,11210,11122,1152903,536913,615990
Oliveira de Azeméis,7269,3285,3983,404742,165018,239724
Paredes,8440,3421,5019,506179,183536,322643
Porto,28248,14259,13989,1486273,716325,769948
Póvoa de Varzim,7221,3535,3685,393727,175736,217991
Santa Maria da Feira,14996,6616,8380,835643,341083,494560
Santo Tirso,8381,3388,4993,478171,176428,301743
São João da Madeira,3447,1456,1992,196086,78972,117114
Trofa,4814,1988,2827,269456,100417,169039
Vale de Cambra,1634,571,1062,90569,26589,63980
Valongo,11373,5234,6139,614850,256200,358650
Vila do Conde,9968,4554,5414,533532,215493,318039
Vila Nova de Gaia,39665,18691,20975,2127912,931455,1196457
Alto Tâmega,5308,2524,2785,303661,134311,169350
Boticas,181,81,99,11220,4949,6271
Chaves,2509,1074,1435,144104,58747,85357
Montalegre,427,217,211,24568,11724,12844
Ribeira de Pena,539,301,237,30360,15345,15015
Valpaços,651,268,384,39287,15645,23642
Vila Pouca de Aguiar,1001,582,419,54122,27901,26221
Tâmega e Sousa,39918,15643,24275,2368573,832849,1535724
Amarante,5124,1766,3358,295940,92417,203523
Baião,1496,800,696,86945,41685,45260
Castelo de Paiva,1231,615,616,70260,31168,39092
Celorico de Basto,1239,496,742,73471,26141,47330
Cinfães,1674,840,834,96676,44639,52037
Felgueiras,7237,2714,4524,437619,151996,285623
Lousada,4779,1784,2995,289652,96572,193080
Marco de Canaveses,4911,1975,2936,290773,100578,190195
Paços de Ferreira,5059,1840,3218,303071,100433,202638
Penafiel,6486,2449,4037,382179,125856,256323
Resende,683,363,320,41987,21364,20623
Douro,14166,6813,7353,809206,366691,442515
Alijó,697,386,311,40137,20560,19577
Armamar,434,193,241,25331,10257,15074
Carrazeda de Ansiães,271,124,147,17001,7289,9712
Freixo de Espada à Cinta,163,71,92,9854,3597,6257
Lamego,2562,1302,1260,142752,68206,74546
Mesão Frio,241,118,123,14347,6352,7995
Moimenta da Beira,715,290,425,39918,16284,23634
Murça,361,186,175,19659,9062,10597
Penedono,107,60,47,6030,2894,3136
Peso da Régua,1175,549,626,69962,31098,38864
Sabrosa,427,174,253,25180,9141,16039
Santa Marta de Penaguião,475,278,197,28354,16316,12038
São João da Pesqueira,298,139,160,18508,7945,10563
Sernancelhe,185,71,114,12419,4237,8182
Tabuaço,357,194,163,21748,11054,10694
Tarouca,704,365,339,38072,19372,18700
Torre de Moncorvo,540,268,272,31108,13928,17180
Vila Nova de Foz Côa,417,171,246,24243,9927,14316
Vila Real,4035,1874,2161,224583,99172,125411
Terras de Trás-os-Montes,5974,2734,3240,342424,145464,196960
Alfândega da Fé,330,157,173,19051,8449,10602
Bragança,1856,857,999,105610,45340,60270
Macedo de Cavaleiros,744,360,383,41490,18343,23147
