Distrito,Municipio,Freguesia (Simpli),DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,Edifícios Clássicos Total,Edifícios Clássicos com 1 ou 2 Alojamentos,Edifícios Clássicos com 3 ou Mais Alojamentos,Edifícios Exclusivamente Residenciais,Edifícios com 1 ou 2 Pisos,Edifícios com 3 ou Mais Pisos,Edifícios Construídos Antes de 1945,Edifícios Construídos Entre 1946 e 1980,Edifícios Construídos Entre 1981 e 2000,Edifícios Construídos Entre 2001 e 2010,Edifícios Construídos Entre 2011 e 2021,Edifícios com Necessidade de Reparação,Alojamentos Total,Alojamentos Familiares,Alojamentos Familiares Habituais,Alojamentos Familiares Vagos ou Secundários,Alojamentos Habituais Acessíveis a Cadeiras de Rodas,Alojamentos Habituais com Estacionamento,Alojamentos Habituais Propriedade dos Ocupantes,Alojamentos Habituais Arrendados,Agregados Domésticos Privados Total,Agregados Domésticos de 1 ou 2 Pessoas,Agregados Domésticos de 3 ou Mais Pessoas,Núcleos Familiares Total,Núcleos Familiares com Filhos,Indivíduos Total,Indivíduos Masculinos,Indivíduos Femininos,Indivíduos de 0 a 14 Anos,Indivíduos de 15 a 24 Anos,Indivíduos de 25 a 64 Anos,Indivíduos com 65 ou Mais Anos,geom_Length,geom_Area
Coimbra,Oliveira do Hospital,Alvoco das Várzeas,611,61102,61102001,1,17,117,6110200117,4,4,0,4,4,0,0,0,2,2,0,2,4,4,1,3,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,5501.863179201539,824309.4690252531
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,16,116,6112600116,9,9,0,9,9,0,7,0,1,0,1,7,9,9,3,6,2,3,3,0,3,1,2,3,1,10,4,6,1,1,6,2,2063.154209852036,147305.1444177695
Coimbra,Oliveira do Hospital,Lourosa,611,61109,61109001,1,7,107,6110900107,10,10,0,10,10,0,1,0,2,7,0,3,10,10,3,7,2,2,3,0,3,1,2,3,1,9,6,3,1,2,4,2,2263.737920070549,209345.9895556589
Coimbra,Oliveira do Hospital,Avô,611,61103,61103001,1,26,126,6110300126,20,20,0,20,20,0,0,8,8,0,4,0,20,20,12,8,4,3,10,1,12,8,4,9,3,25,13,12,2,2,13,8,5831.766938413348,1187361.241540604
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61125,61125001,1,3,103,6112500103,17,17,0,17,7,10,8,4,3,2,0,6,17,17,7,10,2,4,6,0,7,3,4,3,3,18,10,8,3,3,9,3,2122.857647617139,183723.265781282
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,17,117,6112600117,32,32,0,32,19,13,10,4,13,5,0,13,32,32,17,15,6,11,15,1,17,10,7,10,4,38,16,22,3,5,20,10,2196.439922340752,191108.6284090767
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,18,118,6112600118,28,28,0,28,12,16,17,5,5,1,0,23,28,28,10,18,4,2,7,3,10,9,1,4,1,16,5,11,0,3,8,5,1016.041463882951,59111.70120543601
Coimbra,Oliveira do Hospital,Alvoco das Várzeas,611,61102,61102001,1,18,118,6110200118,11,11,0,11,5,6,0,4,2,5,0,4,11,11,5,6,1,4,4,1,5,3,2,5,1,12,5,7,0,2,5,5,3583.754387011028,321821.0750779635
Coimbra,Oliveira do Hospital,Nogueira do Cravo,611,61111,61111002,2,28,228,6111100228,3,3,0,3,3,0,0,0,2,0,1,1,3,3,3,0,2,3,3,0,3,2,1,2,0,6,4,2,0,0,4,2,2701.640042321295,281319.9704393941
Coimbra,Oliveira do Hospital,Oliveira do Hospital e São Paio de Gramaços,611,61124,61124005,5,1,501,6112400501,9,9,0,9,4,5,0,4,4,1,0,0,9,9,8,1,3,8,8,0,8,6,2,8,1,19,10,9,1,1,6,11,391.6638143866937,9642.243463787267
Coimbra,Oliveira do Hospital,Nogueira do Cravo,611,61124,61124005,5,2,502,6112400502,19,18,1,19,15,4,1,7,9,1,1,1,23,23,16,7,6,12,10,3,16,10,6,13,4,38,21,17,3,3,16,16,3492.432797833306,491587.6870697352
Coimbra,Oliveira do Hospital,Oliveira do Hospital e São Paio de Gramaços,611,61124,61124002,2,10,210,6112400210,12,12,0,12,4,8,0,0,3,9,0,12,12,12,12,0,1,12,12,0,12,3,9,13,8,38,15,23,7,5,20,6,484.9410380981792,13044.85149822069
Coimbra,Oliveira do Hospital,Oliveira do Hospital e São Paio de Gramaços,611,61124,61124002,2,11,211,6112400211,19,11,8,19,7,12,0,4,14,1,0,17,64,64,45,19,5,26,26,16,45,29,16,34,21,104,49,55,16,15,59,14,1438.671440640566,47759.26113494983
Coimbra,Oliveira do Hospital,Oliveira do Hospital e São Paio de Gramaços,611,61124,61124005,5,3,503,6112400503,10,10,0,10,6,4,0,6,2,2,0,0,11,11,9,2,3,9,8,0,9,1,8,9,5,30,15,15,6,4,11,9,445.3073270812084,11459.1143511999
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61126,61126001,1,11,111,6112600111,11,11,0,11,6,5,2,3,2,4,0,2,11,11,9,2,3,6,8,1,9,7,2,7,2,19,10,9,1,1,15,2,3786.958121312879,255869.1535729821
Coimbra,Oliveira do Hospital,Alvoco das Várzeas,611,61125,61125001,1,2,102,6112500102,8,8,0,8,3,5,0,4,3,1,0,0,8,8,7,1,2,6,6,1,7,4,3,5,3,17,9,8,2,3,7,5,4636.314329577805,476374.6339806564
