District,Municipality,Parish,DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,Number of Classic Buildings,Classic buildings with 1 or 2 accommodations,Classic buildings with 3 or more accommodations,Exclusively residential buildings,Buildings with 1 or 2 floors,Buildings with 3 or more floors,Buildings constructed before 1945,Buildings constructed between 1946 and 1980,Buildings constructed between 1981 and 2000,Buildings constructed between 2001 and 2010,Buildings constructed between 2011 and 2021,Buildings needing repairs,Total number of accommodations,Number of family accommodations,Classic family accommodations for habitual residence,Classic family accommodations vacant or for secondary residence,Habitual family accommodations accessible to wheelchairs,Habitual family accommodations with parking,Habitual family accommodations owned by occupants,Habitual family accommodations that are rented,Private household groups,Private household groups with 1 or 2 people,Private household groups with 3 or more people,Number of family units,Family units with children,Total number of individuals,Male individuals,Female individuals,Individuals aged between 0 and 14 years,Individuals aged between 15 and 24 years,Individuals aged between 25 and 64 years,Individuals aged 65 years or more,geom_Length,geom_Area
Coimbra,Oliveira do Hospital,Alvoco das Várzeas,611,61102,61102001,1,17,117,6110200117,4,4,0,4,4,0,0,0,2,2,0,2,4,4,1,3,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,5501.863179,824309.469
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,16,116,6112600116,9,9,0,9,9,0,7,0,1,0,1,7,9,9,3,6,2,3,3,0,3,1,2,3,1,10,4,6,1,1,6,2,2063.15421,147305.1444
Coimbra,Oliveira do Hospital,Lourosa,611,61109,61109001,1,7,107,6110900107,10,10,0,10,10,0,1,0,2,7,0,3,10,10,3,7,2,2,3,0,3,1,2,3,1,9,6,3,1,2,4,2,2263.73792,209345.9896
Coimbra,Oliveira do Hospital,Avô,611,61103,61103001,1,26,126,6110300126,20,20,0,20,20,0,0,8,8,0,4,0,20,20,12,8,4,3,10,1,12,8,4,9,3,25,13,12,2,2,13,8,5831.766938,1187361.242
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61125,61125001,1,3,103,6112500103,17,17,0,17,7,10,8,4,3,2,0,6,17,17,7,10,2,4,6,0,7,3,4,3,3,18,10,8,3,3,9,3,2122.857648,183723.2658
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,17,117,6112600117,32,32,0,32,19,13,10,4,13,5,0,13,32,32,17,15,6,11,15,1,17,10,7,10,4,38,16,22,3,5,20,10,2196.439922,191108.6284
Coimbra,Oliveira do Hospital,Santa Ovaia e Vila Pouca da Beira,611,61126,61126001,1,18,118,6112600118,28,28,0,28,12,16,17,5,5,1,0,23,28,28,10,18,4,2,7,3,10,9,1,4,1,16,5,11,0,3,8,5,1016.041464,59111.70121
Coimbra,Oliveira do Hospital,Alvoco das Várzeas,611,61102,61102001,1,18,118,6110200118,11,11,0,11,5,6,0,4,2,5,0,4,11,11,5,6,1,4,4,1,5,3,2,5,1,12,5,7,0,2,5,5,3583.754387,321821.0751
Coimbra,Oliveira do Hospital,Nogueira do Cravo,611,61111,61111002,2,28,228,6111100228,3,3,0,3,3,0,0,0,2,0,1,1,3,3,3,0,2,3,3,0,3,2,1,2,0,6,4,2,0,0,4,2,2701.640042,281319.9704
Coimbra,Oliveira do Hospital,Oliveira do Hospital e São Paio de Gramaços,611,61124,61124005,5,1,501,6112400501,9,9,0,9,4,5,0,4,4,1,0,0,9,9,8,1,3,8,8,0,8,6,2,8,1,19,10,9,1,1,6,11,391.6638144,9642.243464
Coimbra,Oliveira do Hospital,Nogueira do Cravo,611,61124,61124005,5,2,502,6112400502,19,18,1,19,15,4,1,7,9,1,1,1,23,23,16,7,6,12,10,3,16,10,6,13,4,38,21,17,3,3,16,16,3492.432798,491587.6871
